site,sample point,location,quadrat ID,type,code,dbh,cover rate
WIM,7,under,under-2,ground,BG,,30%
WIM,7,under,under-2,grass,PIFI,,35%
WIM,7,under,under-3,grass,PIFI,,10%
WIM,7,under,under-3,grass,BOCU,,25%
WIM,7,under,under-3,grass,SCSC,,15%
WIM,7,under,under-3,grass,BOGR,,35%
WIM,7,under,under-3,ground,BG,,15%
WIM,7,open,open-1,grass,BOGR,,50%
WIM,7,open,open-1,grass,MUSPIKE,,20%
WIM,7,open,open-1,grass,ANGE,,10%
WIM,7,open,open-1,ground,BG,,20%
WIM,7,open,open-2,grass,SCSC,,30%
WIM,7,open,open-2,grass,MUBIG,,50%
WIM,7,open,open-2,grass,"Aristida ""curly""",,5%
WIM,7,open,open-2,grass,BOGR,,25%
WIM,7,open,open-3,grass,MUBIG,,60%
WIM,7,open,open-3,grass,BOCU,,10%
WIM,7,open,open-3,ground,BG,,35%
WIM,8,,,tree,QUGR3,27.4,
WIM,8,,,tree,QUGR3,24.2,
WIM,8,,,tree,QUGR3,30,
WIM,8,under,under-1,tree sapling,JUDE2,,30%
WIM,8,under,under-1,grass,PIFI,,50%
WIM,8,under,under-1,grass,Hesperostipa,,5%
WIM,8,under,under-1,grass,MUBIG,,3%
WIM,8,under,under-1,ground,BG,,15%
WIM,8,under,under-1,grass,ANGE,,10%
WIM,8,under,under-2,grass,Hesperostipa,,50%
WIM,8,under,under-2,grass,MUBIG,,35%
WIM,8,under,under-2,forb,ACAN,,25%
WIM,8,under,under-2,ground,BG,,10%
WIM,8,under,under-3,grass,Hesperostipa,,55%
WIM,8,under,under-3,grass,PIFI,,10%
WIM,8,under,under-3,tree sapling,JUDE2,,1%
WIM,8,under,under-3,ground,BG,,35%
WIM,8,open,open-1,grass,SCSC,,30%
WIM,8,open,open-1,grass,"Aristida ""curly""",,5%
WIM,8,open,open-1,grass,MUBIG,,30%
WIM,8,open,open-1,grass,MUSPIKE,,25%
WIM,8,open,open-1,ground,BG,,10%
WIM,8,open,open-2,tree sapling,QUGR3,,15%
WIM,8,open,open-2,grass,BOCU,,10%
WIM,8,open,open-2,grass,SCSC,,10%
WIM,8,open,open-2,grass,BOGR,,40%
WIM,8,open,open-2,ground,BG,,25%
WIM,8,open,open-2,grass,MUSPIKE,,10%
WIM,8,open,open-3,grass,MUBIG,,35%
WIM,8,open,open-3,grass,SCSC,,20%
WIM,8,open,open-3,grass,"Aristida ""curly""",,10%
WIM,8,open,open-3,ground,BG,,20%
WIM,8,open,open-3,grass,"Aristida ""FS""",,15%
